symbol,market,status,note
A,US,held,
AAPL,US,held,
ABT,US,held,
AIA,US,held,
AMD,US,held,
AMGN,US,held,
AMZN,US,held,
ASML,US,held,
AVGO,US,held,
BABA,US,held,
BAC,US,held,
BATRK,US,held,
BKR,US,held,
BRK.B,US,held,
CL,US,held,
CLH,US,held,
CME,US,held,
COP,US,held,
CORN,US,held,
COST,US,held,
CTRA,US,held,
CVX,US,held,
CWK,US,held,
CWT,US,held,
DELL,US,held,
DHR,US,held,
DIS,US,held,
DXC,US,held,
ECL,US,held,
EEM,US,held,
EMR,US,held,
EQH,US,held,
ES,US,held,
EWJ,US,held,
EWT,US,held,
EWY,US,held,
FDP,US,held,
FDX,US,held,
FL,US,held,
FLS,US,held,
FSLR,US,held,
GFI,US,held,
GLNG,US,held,
GLW,US,held,
GNK,US,held,
GOOG,US,held,
GTLB,US,held,
HD,US,held,
HSBC,US,held,
IBM,US,held,
INFY,US,held,
INTC,US,held,
IR,US,held,
IWM,US,held,
IZRL,US,held,
JCI,US,held,
JHML,US,held,
JNJ,US,held,
KHC,US,held,
KO,US,held,
KR,US,held,
KSA,US,held,
LNG,US,held,
LYB,US,held,
MARA,US,held,
MCO,US,held,
MELI,US,held,
MET,US,held,
META,US,held,
MLAB,US,held,
MNDY,US,held,
MNKD,US,held,
MSCI,US,held,
MT,US,held,
MTCH,US,held,
MTD,US,held,
NEXT,US,held,
NTGR,US,held,
NVDA,US,held,
NVO,US,held,
OXY,US,held,
PEGA,US,held,
PG,US,held,
RIO,US,held,
RKLB,US,held,
RWR,US,held,
SAP,US,held,
SE,US,held,
SHEL,US,held,
SOXL,US,held,
SPGI,US,held,
SU,US,held,
SWK,US,held,
SYK,US,held,
T,US,held,
TFLO,US,held,
TMO,US,held,
TMUS,US,held,
TSLA,US,held,
TSM,US,held,
TTE,US,held,
TXN,US,held,
UBS,US,held,
UGI,US,held,
V,US,held,
VLO,US,held,
VVV,US,held,
VZ,US,held,
WIT,US,held,
WM,US,held,
WMT,US,held,
XOM,US,held,
ADM,US,sold,
AMC,US,sold,
ARM,US,sold,
BCE,US,sold,
BLNK,US,sold,
BMBL,US,sold,
CAT,US,sold,
CGBSW,US,sold,
CRSP,US,sold,
CSAN,US,sold,
DNUT,US,sold,
ENPH,US,sold,
EW,US,sold,
F,US,sold,
FRSH,US,sold,
GFS,US,sold,
HES,US,sold,
HUM,US,sold,
IART,US,sold,
K,US,sold,
KE,US,sold,
KLG,US,sold,
LIT,US,sold,
MANU,US,sold,
MDB,US,sold,
MED,US,sold,
MRNA,US,sold,
MU,US,sold,
NKE,US,sold,
ON,US,sold,
PFE,US,sold,
PZZA,US,sold,
QCLN,US,sold,
SSL,US,sold,
WBD,US,sold,
WKHS,US,sold,
AARTISURF,IN,held,Aarti Surfactants
SPLPETRO,IN,held,Supreme Petrochem
TNPETRO,IN,held,Tamilnadu Petroproducts
CASTROLIND,IN,held,Castrol India
TNPL,IN,held,TN Newsprint & Papers
SUZLON,IN,held,Suzlon Energy
CEWATER,IN,held,Concord Enviro Systems
SENORES,IN,held,Senores Pharmaceuticals
CARRARO,IN,held,Carraro India
VENTIVE,IN,held,Ventive Hospitality
UNIMECH,IN,held,Unimech Aerospace
INDOFARM,IN,held,Indo Farm Equipment
NIFTYBEES,IN,held,Nippon Nifty BEES ETF
PSUBNKBEES,IN,held,Nippon PSU Bank BEES ETF
ADANIPORTS,IN,sold,
