date,event,symbol,market,detail
2026-07-27,enroll,AJANTSOY,IN,baseline=21.5
2026-07-27,enroll,AVANTIFEED,IN,baseline=979.5499877929688
2026-07-27,enroll,AXITA,IN,baseline=7.409999847412109
2026-07-27,enroll,BANARISUG,IN,baseline=3475.10009765625
2026-07-27,enroll,BCCL,IN,baseline=39.560001373291016
2026-07-27,enroll,BLS,IN,baseline=237.5
2026-07-27,enroll,CESC,IN,baseline=162.32000732421875
2026-07-27,enroll,COALINDIA,IN,baseline=427.5
2026-07-27,enroll,DONEAR,IN,baseline=86.18000030517578
2026-07-27,enroll,GSAUTO,IN,baseline=14.649999618530273
2026-07-27,enroll,HERANBA,IN,baseline=175.94000244140625
2026-07-27,enroll,HINDALCO,IN,baseline=945.25
2026-07-27,enroll,INFY,IN,baseline=1079.199951171875
2026-07-27,enroll,INOXWIND,IN,baseline=78.2300033569336
2026-07-27,enroll,IRCTC,IN,baseline=494.0
2026-07-27,enroll,ITC,IN,baseline=285.8500061035156
2026-07-27,enroll,JKLAKSHMI,IN,baseline=574.2000122070312
2026-07-27,enroll,KRIDHANINF,IN,baseline=2.4200000762939453
2026-07-27,enroll,MHRIL,IN,baseline=223.8300018310547
2026-07-27,enroll,NATIONALUM,IN,baseline=339.3500061035156
2026-07-27,enroll,NLCINDIA,IN,baseline=298.45001220703125
2026-07-27,enroll,NSDL,IN,baseline=817.7999877929688
2026-07-27,enroll,ONGC,IN,baseline=238.55999755859375
2026-07-27,enroll,PFC,IN,baseline=420.1000061035156
2026-07-27,enroll,RHFL,IN,baseline=1.9600000381469727
2026-07-27,enroll,RVNL,IN,baseline=223.9499969482422
2026-07-27,enroll,SANDUMA,IN,baseline=198.14999389648438
2026-07-27,enroll,SIMBHALS,IN,baseline=6.880000114440918
2026-07-27,enroll,TARAPUR,IN,baseline=17.739999771118164
2026-07-27,enroll,TATACONSUM,IN,baseline=1107.4000244140625
2026-07-27,enroll,TATAPOWER,IN,baseline=377.3500061035156
2026-07-27,enroll,TATASTEEL,IN,baseline=184.25
2026-07-27,enroll,TIRUMALCHM,IN,baseline=172.08999633789062
2026-07-27,enroll,UGROCAP,IN,baseline=95.6500015258789
2026-07-27,enroll,UNITEDTEA,IN,baseline=472.95001220703125
2026-07-27,enroll,VEDL,IN,baseline=264.6499938964844
2026-07-27,enroll,WAAREEENER,IN,baseline=2741.39990234375
2026-07-27,enroll,WIPRO,IN,baseline=178.52999877929688
2026-07-27,enroll,ZODIAC,IN,baseline=246.75
2026-07-27,enroll,ATUL,IN,baseline=6789.5
2026-07-27,enroll,AARON,IN,baseline=141.9499969482422
2026-07-27,enroll,38390,KR,baseline=9710.0
2026-07-27,enroll,SJT,US,baseline=2.5199999809265137
2026-07-27,enroll,PNR,US,baseline=62.880001068115234
2026-07-27,enroll,AA,US,baseline=44.2400016784668
2026-07-27,enroll,PRTS,US,baseline=5.28000020980835
2026-07-27,enroll,246690.KQ,KR,baseline=1488.0
2026-07-27,enroll,476040.KQ,KR,baseline=7680.0
2026-07-27,enroll,043100.KQ,KR,baseline=520.0
2026-07-27,enroll,4109.T,JP,baseline=5620.0
2026-07-27,enroll,4222.T,JP,baseline=618.0
2026-07-27,enroll,6619.T,JP,baseline=157.0
2026-07-27,enroll,7564.T,JP,baseline=5590.0
2026-07-27,enroll,6908.T,JP,baseline=2790.0
2026-07-27,enroll,CAPR,US,baseline=19.700000762939453
2026-07-27,enroll,8783.T,JP,baseline=68.0
2026-07-27,enroll,GESHIP,IN,baseline=1398.5999755859375
2026-07-27,enroll,EKI,IN,baseline=84.0999984741211
2026-07-27,enroll,EMBASSY,IN,baseline=437.989990234375
2026-07-27,enroll,GSPL,IN,baseline=268.3500061035156
2026-07-27,enroll,MANGCHEFER,IN,baseline=308.75
2026-07-27,enroll,MORARJEE,IN,baseline=10.260000228881836
2026-07-27,enroll,VJLAXMIE,IN,baseline=39.0
2026-07-27,enroll,KONNDOR,IN,baseline=16.25
2026-07-27,enroll,NARPROP,IN,baseline=38.7599983215332
2026-07-27,enroll,BDH,IN,baseline=578.7000122070312
2026-07-27,enroll,PANCHSHEEL,IN,baseline=118.0999984741211
2026-07-27,enroll,SUPRATRE,IN,baseline=14.579999923706055
2026-07-27,enroll,SVARTCORP,IN,baseline=3.569999933242798
