market_code,market_name,exchange,yf_symbol
IN,India,NSE/BSE,SWASTIKAAL.BO
IN,India,NSE/BSE,GNRL.NS
IN,India,NSE/BSE,LAXMIPATI.BO
IN,India,NSE/BSE,SONALAD.BO
IN,India,NSE/BSE,GOLDTECH.NS
IN,India,NSE/BSE,BTTL.NS
IN,India,NSE/BSE,INDXTRA.BO
IN,India,NSE/BSE,SOMICONVEY.NS
IN,India,NSE/BSE,TIMESGREEN.BO
IN,India,NSE/BSE,EPBIO.BO
IN,India,NSE/BSE,SAKSOFT.NS
IN,India,NSE/BSE,SCAGRO.BO
IN,India,NSE/BSE,TEXELIN.BO
IN,India,NSE/BSE,ASTALLTD.BO
IN,India,NSE/BSE,VALSONQ.BO
IN,India,NSE/BSE,RAMCOIND.NS
IN,India,NSE/BSE,BLACKROSE.NS
IN,India,NSE/BSE,RELAXO.NS
IN,India,NSE/BSE,EMMFORCE.BO
IN,India,NSE/BSE,POLYLINK.BO
IN,India,NSE/BSE,PIXTRANS.NS
IN,India,NSE/BSE,ADITYA.BO
IN,India,NSE/BSE,KMCSHIL.BO
IN,India,NSE/BSE,GHUSHINE.BO
IN,India,NSE/BSE,EVERESTIND.NS
IN,India,NSE/BSE,PHARMAID.BO
IN,India,NSE/BSE,VCL.NS
IN,India,NSE/BSE,ECOBOAR.BO
IN,India,NSE/BSE,NWIL.BO
IN,India,NSE/BSE,ALPHAIND.BO
IN,India,NSE/BSE,HIGHNESS.BO
IN,India,NSE/BSE,YUNIKM.BO
IN,India,NSE/BSE,CHANDRIMA.BO
IN,India,NSE/BSE,7TEC.BO
IN,India,NSE/BSE,ACIIN.BO
IN,India,NSE/BSE,CTL.BO
IN,India,NSE/BSE,MSUMI.NS
IN,India,NSE/BSE,RAJKOTINV.BO
IN,India,NSE/BSE,ROYALCU.BO
IN,India,NSE/BSE,DANUBE.BO
IN,India,NSE/BSE,SHIVAGR.BO
IN,India,NSE/BSE,NARMADA.NS
IN,India,NSE/BSE,SUPERTEX.BO
IN,India,NSE/BSE,SIEL.BO
IN,India,NSE/BSE,RCCL.BO
IN,India,NSE/BSE,UCAL.NS
IN,India,NSE/BSE,REPCOHOME.NS
IN,India,NSE/BSE,WMINIMT.BO
IN,India,NSE/BSE,TPROJECT.BO
IN,India,NSE/BSE,ASARFI.BO
IN,India,NSE/BSE,AEGISLOG.NS
IN,India,NSE/BSE,BALGOPAL.BO
IN,India,NSE/BSE,KALPACOMME.BO
IN,India,NSE/BSE,MARBU.BO
IN,India,NSE/BSE,SHIVAUM.NS
IN,India,NSE/BSE,ABINFRA.NS
IN,India,NSE/BSE,LTELEVATOR.BO
IN,India,NSE/BSE,BLISSGVS.NS
IN,India,NSE/BSE,MIRZAINT.NS
IN,India,NSE/BSE,WHEELS.NS
IN,India,NSE/BSE,SALEM.BO
IN,India,NSE/BSE,CHANDNIMACH.BO
IN,India,NSE/BSE,DYCL.NS
IN,India,NSE/BSE,FUSION.NS
IN,India,NSE/BSE,INVPRECQ.NS
IN,India,NSE/BSE,VLSFINANCE.NS
IN,India,NSE/BSE,EBGNG.NS
IN,India,NSE/BSE,GROWINGTON.BO
IN,India,NSE/BSE,KJMCFIN.BO
IN,India,NSE/BSE,TVTODAY.NS
IN,India,NSE/BSE,ONWARDTEC.NS
IN,India,NSE/BSE,LAHL.BO
IN,India,NSE/BSE,SWASTH.BO
IN,India,NSE/BSE,TVSELECT.NS
IN,India,NSE/BSE,BERLDRG.BO
IN,India,NSE/BSE,DECIPHER.BO
IN,India,NSE/BSE,RISHITECH.BO
IN,India,NSE/BSE,CONTAINER.BO
IN,India,NSE/BSE,FEDDERSHOL.NS
IN,India,NSE/BSE,M&MFIN.NS
IN,India,NSE/BSE,APOORVA.BO
IN,India,NSE/BSE,INCAP.BO
IN,India,NSE/BSE,STANBIK.BO
IN,India,NSE/BSE,KAYPOWR.BO
IN,India,NSE/BSE,JAINEX.BO
IN,India,NSE/BSE,VPAL.BO
IN,India,NSE/BSE,GENCON.NS
IN,India,NSE/BSE,GOODRICKE.BO
IN,India,NSE/BSE,RIBATEX.BO
IN,India,NSE/BSE,RAMCOSYS.NS
IN,India,NSE/BSE,CROISSANCE.BO
IN,India,NSE/BSE,NEOINFRA.BO
IN,India,NSE/BSE,YASHCHEM.BO
IN,India,NSE/BSE,TALBROAUTO.NS
IN,India,NSE/BSE,FILATFASH.BO
IN,India,NSE/BSE,PNC.NS
IN,India,NSE/BSE,PCL.BO
IN,India,NSE/BSE,NATPLASTI.BO
IN,India,NSE/BSE,TAMBOLIIN.NS
IN,India,NSE/BSE,LIBERTSHOE.NS
IN,India,NSE/BSE,ELIXIR.BO
IN,India,NSE/BSE,SW1.BO
IN,India,NSE/BSE,QUESTFLOW.BO
IN,India,NSE/BSE,CONTICON.BO
IN,India,NSE/BSE,AUTOIND.BO
IN,India,NSE/BSE,SJCORP.BO
IN,India,NSE/BSE,KANORICHEM.BO
IN,India,NSE/BSE,KHYATI.BO
IN,India,NSE/BSE,SKM.BO
IN,India,NSE/BSE,TRANSVOY.BO
IN,India,NSE/BSE,NEELKAN.BO
IN,India,NSE/BSE,UNIABEXAL.BO
IN,India,NSE/BSE,CONTAINE.BO
IN,India,NSE/BSE,HFCL.NS
IN,India,NSE/BSE,EBIX.BO
IN,India,NSE/BSE,KANUNGO.BO
IN,India,NSE/BSE,RRFIN.BO
IN,India,NSE/BSE,PARMSILK.BO
IN,India,NSE/BSE,SDL.BO
IN,India,NSE/BSE,PARSHWANA.BO
IN,India,NSE/BSE,ACCEDERE.BO
IN,India,NSE/BSE,FINELINE.BO
IN,India,NSE/BSE,JLL.BO
IN,India,NSE/BSE,SELECTRIC.BO
IN,India,NSE/BSE,AMS.BO
IN,India,NSE/BSE,BAFNAPH.BO
IN,India,NSE/BSE,LEXGLOBAL.BO
IN,India,NSE/BSE,AHLWEST.BO
IN,India,NSE/BSE,POOJAENT.BO
IN,India,NSE/BSE,PURPLE.BO
IN,India,NSE/BSE,MIDEASTP.BO
IN,India,NSE/BSE,HISARSP.BO
IN,India,NSE/BSE,RSCINT.BO
IN,India,NSE/BSE,LIPPISYS.BO
IN,India,NSE/BSE,PATINTLOG.BO
IN,India,NSE/BSE,YAJUR.BO
IN,India,NSE/BSE,MAHAVEER.BO
IN,India,NSE/BSE,DATIWARE.BO
IN,India,NSE/BSE,ACSTECH.NS
IN,India,NSE/BSE,NBL.BO
IN,India,NSE/BSE,PRECISIO.BO
IN,India,NSE/BSE,MANBRO.BO
IN,India,NSE/BSE,COLINZ.BO
IN,India,NSE/BSE,HEXAGON.BO
IN,India,NSE/BSE,STLTECH.BO
IN,India,NSE/BSE,VENUSREM.BO
IN,India,NSE/BSE,NANTA.BO
IN,India,NSE/BSE,AUDROC.BO
IN,India,NSE/BSE,DHARFIN.BO
IN,India,NSE/BSE,STARIMAGIN.BO
IN,India,NSE/BSE,HERITGFOOD.NS
IN,India,NSE/BSE,RELIABVEN.BO
IN,India,NSE/BSE,VEDANTASSET.BO
IN,India,NSE/BSE,INCON.BO
IN,India,NSE/BSE,GRAMEVA.BO
IN,India,NSE/BSE,PATELSAI.BO
IN,India,NSE/BSE,ECSTSTL.BO
IN,India,NSE/BSE,PHOTON.BO
IN,India,NSE/BSE,BHAGYANGR.BO
IN,India,NSE/BSE,TFSL.BO
IN,India,NSE/BSE,SRSOLTD.BO
IN,India,NSE/BSE,TEJASSVI.BO
IN,India,NSE/BSE,HMT.BO
IN,India,NSE/BSE,AHMDSTE.BO
IN,India,NSE/BSE,BCCFUBA.BO
IN,India,NSE/BSE,DRL.BO
IN,India,NSE/BSE,BPAGRI.BO
IN,India,NSE/BSE,ATVOENT.BO
